varying_param_name,varying_param_value,density_method,RMSE,RW-RMSE,SERA,DW-RMSE,DW-SERA
alpha,0.39899899899899904,relevance,2.2587823887419507,2.8949982328948223,2483.17913756386,2.9786615045937963,3334.71892556986
alpha,0.39899899899899904,denseweight,2.2648152218045836,2.961564753878237,2598.556130486675,3.0471458941732337,3443.6747547510226
alpha,0.4019019019019019,relevance,2.2781709662993475,2.9493937773086296,2577.1133897927543,3.0175535286535005,3382.5122137241974
alpha,0.4019019019019019,denseweight,2.273180405732801,2.9601067653056115,2596.2183024516453,3.033999797378746,3438.1276740889925
alpha,0.40480480480480485,relevance,2.2934715092404243,2.916614088869979,2520.143677242602,2.9997487114533383,3385.470124522669
alpha,0.40480480480480485,denseweight,2.294993542653021,2.997582794620269,2662.198009234818,3.0679949197554977,3496.185294258239
alpha,0.4077077077077077,relevance,2.2999665547662573,2.910752279952431,2510.290920128034,3.0146215009476376,3441.040940079189
alpha,0.4077077077077077,denseweight,2.2896373616030288,2.9863109003904977,2642.262968019932,3.0583390157855286,3481.4497013349596
alpha,0.41061061061061055,relevance,2.2702501196994,2.885591146495278,2467.180843362963,2.9812564606432934,3358.373677707561
alpha,0.41061061061061055,denseweight,2.2737211184451946,2.9636110895234364,2602.3429044347763,3.0243836948654486,3433.50345538223
alpha,0.4135135135135135,relevance,2.2516057542248697,2.8609428400096584,2425.2872505640144,2.9445161949332372,3272.9931133443015
alpha,0.4135135135135135,denseweight,2.260470300117733,2.9266308951376634,2537.9759413226484,3.005406194502677,3385.1991760671503
alpha,0.41641641641641636,relevance,2.271623666498629,2.92116266640805,2528.1014979837987,2.9937583177386213,3373.382337227151
alpha,0.41641641641641636,denseweight,2.2469398352154073,2.9368206518941586,2555.7691004291155,3.0130127274371494,3393.9585489761635
alpha,0.4193193193193193,relevance,2.2615504648893174,2.8947083810539396,2482.860854653229,2.9829392550681817,3339.994968600552
alpha,0.4193193193193193,denseweight,2.264606515504469,2.9049507860576753,2500.394409331959,2.9814303039957872,3378.8008305218123
alpha,0.42222222222222217,relevance,2.2479242912440514,2.8595766757319554,2422.860717879723,2.9352454326066155,3270.5452549932
alpha,0.42222222222222217,denseweight,2.273701697583659,2.956655363568784,2589.949621117915,3.026597482477485,3409.0874576344268
alpha,0.4251251251251251,relevance,2.2493322663384854,2.881320527003203,2459.5994823968144,2.959774087680096,3279.0993440996867
alpha,0.4251251251251251,denseweight,2.2605353039848635,2.918911101326228,2524.6897176840444,2.9887715720830563,3361.5418852593903
alpha,0.428028028028028,relevance,2.276498407101753,2.923046696708076,2531.2818723761334,3.001586957257089,3384.6734255318443
